case_id,parameter_id,quantity,value,unit,status,approval_status,owner,provenance,notes
RC-NOM,RC-NOM-EK,electron kinetic energy,3,MeV,assumed input,approval pending,project owner,Milestone 2 section 2.3,"Kinetic energy; not total energy"
RC-NOM,RC-NOM-LWL,incident laser wavelength,800,nm,assumed input,approval pending,project owner,Milestone 2 section 2.3,"Spectral peak/centroid and medium TBD"
RC-NOM,RC-NOM-OWL,output EUV wavelength,TBD,nm,TBD,open,project owner,Milestone 2 open decision OD-004,"No output wavelength inferred"
RC-NOM,RC-NOM-CANGLE,collision angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-004,"Angle between propagation vectors; 180 degrees is head-on"
RC-NOM,RC-NOM-OANGLE,observation angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-004,"Measured from electron propagation"
RC-NOM,RC-NOM-POL,laser polarization,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-004,"Basis and handedness convention required"
RC-NOM,RC-NOM-MODEL,physics model,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-004,"Linear/exact recoil/nonlinear/harmonic choices required"
RC-NOM,RC-NOM-ACCEPT,angular acceptance,TBD,sr,TBD,open,project owner,Milestone 2 open decision OD-004,"Aperture geometry may require additional units"
RC-067,RC-067-OWL,output EUV wavelength,6.7,nm,design target,approval pending,project owner,Milestone 2 section 2.3,"Candidate target; not a prediction or measurement"
RC-067,RC-067-EK,electron kinetic energy,TBD,MeV,TBD,open,project owner,Milestone 2 open decision OD-005,"Must be explicitly kinetic energy"
RC-067,RC-067-LWL,incident laser wavelength,TBD,nm,TBD,open,project owner,Milestone 2 open decision OD-005,"Input wavelength definition required"
RC-067,RC-067-CANGLE,collision angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-005,"180 degrees is head-on"
RC-067,RC-067-OANGLE,observation angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-005,"Measured from electron propagation"
RC-067,RC-067-POL,laser polarization,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-005,"Basis and handedness convention required"
RC-067,RC-067-MODEL,physics model,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-005,"Linear/exact recoil/nonlinear/harmonic choices required"
RC-067,RC-067-ACCEPT,angular acceptance,TBD,sr,TBD,open,project owner,Milestone 2 open decision OD-005,"Aperture geometry may require additional units"
RC-135,RC-135-OWL,output EUV wavelength,13.5,nm,design target,approval pending,project owner,Milestone 2 section 2.3,"Candidate target; not a prediction or measurement"
RC-135,RC-135-EK,electron kinetic energy,TBD,MeV,TBD,open,project owner,Milestone 2 open decision OD-005,"Must be explicitly kinetic energy"
RC-135,RC-135-LWL,incident laser wavelength,TBD,nm,TBD,open,project owner,Milestone 2 open decision OD-005,"Input wavelength definition required"
RC-135,RC-135-CANGLE,collision angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-005,"180 degrees is head-on"
RC-135,RC-135-OANGLE,observation angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-005,"Measured from electron propagation"
RC-135,RC-135-POL,laser polarization,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-005,"Basis and handedness convention required"
RC-135,RC-135-MODEL,physics model,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-005,"Linear/exact recoil/nonlinear/harmonic choices required"
RC-135,RC-135-ACCEPT,angular acceptance,TBD,sr,TBD,open,project owner,Milestone 2 open decision OD-005,"Aperture geometry may require additional units"
RC-COM,RC-COM-STAGE,commissioning stage,TBD,dimensionless,TBD,open,project owner,Milestone 2 open decision OD-006,"Staging and objective required"
RC-COM,RC-COM-EK,electron kinetic energy,TBD,MeV,TBD,open,project owner,Milestone 2 open decision OD-006,"Must be explicitly kinetic energy"
RC-COM,RC-COM-LWL,incident laser wavelength,TBD,nm,TBD,open,project owner,Milestone 2 open decision OD-006,"Input wavelength definition required"
RC-COM,RC-COM-LENERGY,laser pulse energy,TBD,J,TBD,open,project owner,Milestone 2 open decision OD-006,"Reduced-power limit and width convention required"
RC-COM,RC-COM-CHARGE,electron bunch charge,TBD,C,TBD,open,project owner,Milestone 2 open decision OD-006,"Commissioning limit required"
RC-COM,RC-COM-RATE,repetition rate,TBD,Hz,TBD,open,project owner,Milestone 2 open decision OD-006,"Commissioning limit required"
RC-COM,RC-COM-CANGLE,collision angle,TBD,degree,TBD,open,project owner,Milestone 2 open decision OD-006,"180 degrees is head-on"
RC-COM,RC-COM-ACCEPT,angular acceptance,TBD,sr,TBD,open,project owner,Milestone 2 open decision OD-006,"Diagnostic acceptance required"
