requirement_id,level,area,candidate_statement,classification,value,unit,rationale,verification_method,owner,approval_status,source_or_provenance,affected_subsystems
SYS-EUV-001,system,EUV output,Define the approved source wavelength or tunability range,TBD,TBD,nm,Application and reference-case alignment,TBD,project owner,open,Milestone 2 section 2.4,"interaction region; EUV transport; diagnostics"
SYS-EUV-002,system,EUV output,Define the approved spectral bandwidth and its full convention,TBD,TBD,dimensionless,Application spectral acceptance,TBD,project owner,open,Milestone 2 section 2.4,"electron beam; laser; interaction region; EUV transport"
SYS-EUV-003,system,EUV output,Define approved photon flux within stated spectral and angular acceptance,TBD,TBD,photon/s,Application throughput,TBD,project owner,open,Milestone 2 section 2.4,"electron beam; laser; interaction region; EUV transport; diagnostics"
SYS-EUV-004,system,EUV output,Define approved brilliance with phase-space and bandwidth normalization,TBD,TBD,"photon/(s mm^2 mrad^2 0.1% BW)",Application phase-space performance,TBD,project owner,open,Milestone 2 section 2.4,"electron beam; laser; interaction region; diagnostics"
SYS-EUV-005,system,EUV output,Define approved output stability metric and averaging interval,TBD,TBD,dimensionless,Repeatable operation,TBD,project owner,open,Milestone 2 section 2.4,"all source subsystems; controls; diagnostics"
SYS-EUV-006,system,EUV output,Define approved EUV polarization state and tolerance,TBD,TBD,dimensionless,Application polarization needs,TBD,project owner,open,Milestone 2 section 2.4,"laser; interaction region; EUV optics; diagnostics"
SYS-EUV-007,system,EUV output,Define approved pulse or bunch repetition rate,TBD,TBD,Hz,Output timing and average performance,TBD,project owner,open,Milestone 2 section 2.4,"injector; linac; laser; synchronization; controls"
SYS-EUV-008,system,EUV output,Define approved operational availability and accounting method,TBD,TBD,percent,Facility usability,TBD,project owner,open,Milestone 2 section 2.4,"all subsystems; facilities"
ELE-001,subsystem,electron beam,Define approved electron kinetic energy and tolerance,TBD,TBD,MeV,Reference-case photon-energy control,TBD,project owner,open,Milestone 2 sections 2.3 and 2.4,"injector; linac; transport; interaction region"
ELE-002,subsystem,electron beam,Define approved bunch charge,TBD,TBD,C,Photon yield and collective effects,TBD,project owner,open,Milestone 2 section 2.4,"source; injector; linac; transport; dump"
ELE-003,subsystem,electron beam,Define approved normalized transverse emittance with plane and width convention,TBD,TBD,"m rad",Focusability and brilliance,TBD,project owner,open,Milestone 2 section 2.4,"injector; linac; transport; interaction region"
ELE-004,subsystem,electron beam,Define approved kinetic-energy spread and RMS or FWHM convention,TBD,TBD,dimensionless,Spectral bandwidth control,TBD,project owner,open,Milestone 2 section 2.4,"injector; linac; transport; interaction region"
ELE-005,subsystem,electron beam,Define approved bunch duration and RMS or FWHM convention,TBD,TBD,s,Temporal overlap,TBD,project owner,open,Milestone 2 section 2.4,"injector; linac; synchronization; interaction region"
